Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,Chrome 67.0.3396.87,,2018-06-17 17:00:35,2018-06-17 17:00:58,23.316s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login,Chrome 67.0.3396.87,Verify if users can login successful. \n\nSteps:\n- Click on 'Book Appointment' button to login\n- Input username and password\n- Click on 'Login' button\n\nExpected result:\n'Appointment' section is displayed after successful login,2018-06-17 17:00:35,2018-06-17 17:00:46,10.629s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-17 17:00:36,2018-06-17 17:00:36,0.087s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-17 17:00:36,2018-06-17 17:00:36,0.000s,PASSED
openBrowser,Chrome 67.0.3396.87,,2018-06-17 17:00:36,2018-06-17 17:00:42,5.861s,PASSED
click,Chrome 67.0.3396.87,,2018-06-17 17:00:42,2018-06-17 17:00:43,0.863s,PASSED
waitForElementVisible,Chrome 67.0.3396.87,,2018-06-17 17:00:43,2018-06-17 17:00:43,0.138s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-17 17:00:43,2018-06-17 17:00:44,0.349s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-17 17:00:44,2018-06-17 17:00:44,0.301s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-17 17:00:44,2018-06-17 17:00:44,0.004s,PASSED
click,Chrome 67.0.3396.87,,2018-06-17 17:00:44,2018-06-17 17:00:45,1.157s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-17 17:00:45,2018-06-17 17:00:45,0.002s,PASSED
"Statement - landingPage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_CuraAppointment/div_Appointment), G_Timeout)",Chrome 67.0.3396.87,,2018-06-17 17:00:45,2018-06-17 17:00:45,0.128s,PASSED
closeBrowser,Chrome 67.0.3396.87,,2018-06-17 17:00:45,2018-06-17 17:00:46,0.846s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment,Chrome 67.0.3396.87,Verify if users can book an appointment sucessfully.\nPre-condition: Users have already logged in\n\nSteps:\n- Fill in appoinment's information\n- Click on appointment's button\n\nExpected results:\nAppointment Confirmation page is displayed,2018-06-17 17:00:46,2018-06-17 17:00:58,12.078s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-17 17:00:46,2018-06-17 17:00:46,0.003s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-17 17:00:46,2018-06-17 17:00:46,0.000s,PASSED
openBrowser,Chrome 67.0.3396.87,,2018-06-17 17:00:46,2018-06-17 17:00:51,4.678s,PASSED
callTestCase,Chrome 67.0.3396.87,,2018-06-17 17:00:51,2018-06-17 17:00:54,3.259s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-17 17:00:54,2018-06-17 17:00:54,0.002s,PASSED
Statement - If (true),Chrome 67.0.3396.87,,2018-06-17 17:00:54,2018-06-17 17:00:56,1.659s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-17 17:00:56,2018-06-17 17:00:56,0.002s,PASSED
click,Chrome 67.0.3396.87,,2018-06-17 17:00:56,2018-06-17 17:00:56,0.563s,PASSED
verifyTextPresent,Chrome 67.0.3396.87,,2018-06-17 17:00:56,2018-06-17 17:00:57,0.239s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-17 17:00:57,2018-06-17 17:00:57,0.002s,PASSED
Statement - If (true),Chrome 67.0.3396.87,,2018-06-17 17:00:57,2018-06-17 17:00:57,0.480s,PASSED
closeBrowser,Chrome 67.0.3396.87,,2018-06-17 17:00:57,2018-06-17 17:00:58,0.879s,PASSED
