Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,Chrome 67.0.3396.99,,2018-07-07 12:18:26,2018-07-07 12:19:15,48.710s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login,Chrome 67.0.3396.99,Verify if users can login successful. \n\nSteps:\n- Click on 'Book Appointment' button to login\n- Input username and password\n- Click on 'Login' button\n\nExpected result:\n'Appointment' section is displayed after successful login,2018-07-07 12:18:28,2018-07-07 12:19:01,33.268s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-07 12:18:29,2018-07-07 12:18:29,0.141s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-07 12:18:29,2018-07-07 12:18:29,0.020s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-07 12:18:29,2018-07-07 12:18:57,28.235s,PASSED
click,Chrome 67.0.3396.99,,2018-07-07 12:18:57,2018-07-07 12:18:58,0.958s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-07 12:18:58,2018-07-07 12:18:58,0.153s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-07 12:18:58,2018-07-07 12:18:59,0.394s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-07 12:18:59,2018-07-07 12:18:59,0.291s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-07 12:18:59,2018-07-07 12:18:59,0.003s,PASSED
click,Chrome 67.0.3396.99,,2018-07-07 12:18:59,2018-07-07 12:19:00,0.806s,PASSED
comment,Chrome 67.0.3396.99,,2018-07-07 12:19:00,2018-07-07 12:19:00,0.002s,PASSED
"Statement - landingPage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_CuraAppointment/div_Appointment), G_Timeout)",Chrome 67.0.3396.99,,2018-07-07 12:19:00,2018-07-07 12:19:00,0.126s,PASSED
com.commonkeyword.newKeyword.switchWindow,Chrome 67.0.3396.99,,2018-07-07 12:19:00,2018-07-07 12:19:00,0.029s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-07 12:19:00,2018-07-07 12:19:01,0.854s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment,Chrome 67.0.3396.99,Verify if users can book an appointment sucessfully.\nPre-condition: Users have already logged in\n\nSteps:\n- Fill in appoinment's information\n- Click on appointment's button\n\nExpected results:\nAppointment Confirmation page is displayed,2018-07-07 12:19:01,2018-07-07 12:19:15,14.002s,PASSED
Statement - Try,Chrome 67.0.3396.99,,2018-07-07 12:19:01,2018-07-07 12:19:14,12.964s,PASSED
Statement - Finally,Chrome 67.0.3396.99,,2018-07-07 12:19:14,2018-07-07 12:19:15,0.810s,PASSED
